id,name,alcoholic,category,glassType,instructions,ingredients,ingredientMeasures,combinedIngredients
36,Boomerang,Alcoholic,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.","['Gin', 'Dry Vermouth', 'Bitters', 'Maraschino liqueur', 'Maraschino cherry']","['2 oz ', '1/2 oz ', '2 dashes ', '1/2 tsp ', '1 ']","['Gin (2 oz)', 'Dry Vermouth (1/2 oz)', 'Bitters (2 dashes)', 'Maraschino liqueur (1/2 tsp)', 'Maraschino cherry (1)']"
37,Barracuda,Alcoholic,Ordinary Drink,Margarita glass,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.","['Rum', 'Galliano', 'Pineapple Juice', 'Lime Juice', 'Prosecco']","['4.5 cl', '1.5 cl', '6 cl', ' 1 dash', 'top up ']","['Rum (4.5 cl)', 'Galliano (1.5 cl)', 'Pineapple Juice (6 cl)', 'Lime Juice (1 dash)', 'Prosecco (top up)']"
38,Brigadier,Alcoholic,Cocktail,Coupe Glass,Mix ingredients in a warmed mug and stir.,"['Hot Chocolate', 'Green Chartreuse', 'Cherry Heering']","['4 oz', '1 oz', '1 oz']","['Hot Chocolate (4 oz)', 'Green Chartreuse (1 oz)', 'Cherry Heering (1 oz)']"
39,Broadside,Alcoholic,Cocktail,Highball glass,"Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!","['151 proof rum', 'Scotch', 'Bitters', 'Wormwood', 'Ice']","['1 shot', '1/2 shot', '3 drops', '1 Fresh', 'cubes']","['151 proof rum (1 shot)', 'Scotch (1/2 shot)', 'Bitters (3 drops)', 'Wormwood (1 Fresh)', 'Ice (cubes)']"
40,Buccaneer,Alcoholic,Beer,Beer pilsner,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,"['Corona', 'Bacardi Limon']","['1 ', '1 shot ']","['Corona (1)', 'Bacardi Limon (1 shot)']"
41,Brain Fart,Alcoholic,Punch / Party Drink,Punch bowl,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,"['Everclear', 'Vodka', 'Mountain Dew', 'Surge', 'Lemon juice', 'Rum']","['1 fifth ', '1 fifth Smirnoff red label ', '2 L ', '2 L ', '1 small bottle ', '1 pint ']","['Everclear (1 fifth)', 'Vodka (1 fifth Smirnoff red label)', 'Mountain Dew (2 L)', 'Surge (2 L)', 'Lemon juice (1 small bottle)', 'Rum (1 pint)']"
42,Blackthorn,Alcoholic,Ordinary Drink,Cocktail glass,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,"['Sweet Vermouth', 'Sloe gin', 'Lemon peel']","['1 oz ', '1 1/2 oz ', '1 twist of ']","['Sweet Vermouth (1 oz)', 'Sloe gin (1 1/2 oz)', 'Lemon peel (1 twist of)']"
43,Bob Marley,Alcoholic,Shot,Shot glass,Layer in a 2 oz shot glass or pony glass,"['Midori melon liqueur', 'Jägermeister', 'Goldschlager']","['1/2 oz ', '1/2 oz ', '1/2 oz ']","['Midori melon liqueur (1/2 oz)', 'Jägermeister (1/2 oz)', 'Goldschlager (1/2 oz)']"
44,Bible Belt,Alcoholic,Other / Unknown,Highball glass,"Mix all ingredients, and pour over ice.","['Southern Comfort', 'Triple sec', 'Lime', 'Sour mix']","['2 oz ', '1/2 oz ', '2 wedges ', '2 oz ']","['Southern Comfort (2 oz)', 'Triple sec (1/2 oz)', 'Lime (2 wedges)', 'Sour mix (2 oz)']"
45,Bubble Gum,Alcoholic,Shot,Shot glass,Layer in order into a shot glass.,"['Vodka', 'Banana liqueur', 'Orange juice', 'Peach schnapps']","['1/4 ', '1/4 ', '1/4 ', '1/4 ']","['Vodka (1/4)', 'Banana liqueur (1/4)', 'Orange juice (1/4)', 'Peach schnapps (1/4)']"
46,Bumble Bee,Alcoholic,Shot,Shot glass,"This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!","['Baileys irish cream', 'Kahlua', 'Sambuca']","['1/3 oz ', '1/3 oz ', '1/3 oz ']","['Baileys irish cream (1/3 oz)', 'Kahlua (1/3 oz)', 'Sambuca (1/3 oz)']"
47,Baby Eskimo,Alcoholic,Shake,Collins Glass,"Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink.","['Kahlua', 'Milk', 'Vanilla ice-cream']","['2 oz ', '8 oz ', '2 scoops ']","['Kahlua (2 oz)', 'Milk (8 oz)', 'Vanilla ice-cream (2 scoops)']"
48,Boston Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.","['Blended whiskey', 'Lemon', 'Powdered sugar', 'Egg white', 'Lemon', 'Cherry']","['2 oz ', 'Juice of 1/2 ', '1 tsp ', '1 ', '1 slice ', '1 ']","['Blended whiskey (2 oz)', 'Lemon (Juice of 1/2)', 'Powdered sugar (1 tsp)', 'Egg white (1)', 'Lemon (1 slice)', 'Cherry (1)']"
49,Bahama Mama,Alcoholic,Cocktail,Highball glass,"Add 2 parts club soda or more or less to taste.

Mix it all together and pour over a bunch of ice. Drink with a straw.","['Rum', 'Dark Rum', 'Banana liqueur', 'Grenadine', 'Pineapple Juice', 'Orange Juice', 'Sweet and Sour']","['3 parts', '1 part', '1 part', '1 part', '2 parts', '2 parts', '1 part']","['Rum (3 parts)', 'Dark Rum (1 part)', 'Banana liqueur (1 part)', 'Grenadine (1 part)', 'Pineapple Juice (2 parts)', 'Orange Juice (2 parts)', 'Sweet and Sour (1 part)']"
50,Casino,Alcoholic,Ordinary Drink,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,"['Gin', 'Maraschino liqueur', 'Lemon juice', 'Orange bitters', 'Cherry']","['2 oz ', '1/4 tsp ', '1/4 tsp ', '2 dashes ', '1 ']","['Gin (2 oz)', 'Maraschino liqueur (1/4 tsp)', 'Lemon juice (1/4 tsp)', 'Orange bitters (2 dashes)', 'Cherry (1)']"
51,Cafe Savoy,Alcoholic,Coffee / Tea,Coffee mug,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.","['Coffee', 'Milk', 'Triple sec', 'Brandy']","[None, '1/2 oz ', '1/2 oz ', None]","['Coffee', 'Milk (1/2 oz)', 'Triple sec (1/2 oz)', 'Brandy']"
52,Caipirinha,Alcoholic,Ordinary Drink,Old-fashioned glass,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,"['Sugar', 'Lime', 'Cachaca']","['2 tsp', '1 ', '2 1/2 oz ']","['Sugar (2 tsp)', 'Lime (1)', 'Cachaca (2 1/2 oz)']"
53,Cream Soda,Alcoholic,Cocktail,Highball glass,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,"['Spiced rum', 'Ginger ale']","['1 oz ', None]","['Spiced rum (1 oz)', 'Ginger ale']"
54,Cuba Libra,Alcoholic,Ordinary Drink,Highball glass,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,"['Dark rum', 'Lime', 'Coca-Cola', 'Ice']","['1-2 shot ', 'Squeeze ', 'Fill with ', None]","['Dark rum (1-2 shot)', 'Lime (Squeeze)', 'Coca-Cola (Fill with)', 'Ice']"
55,Cherry Rum,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","['Light rum', 'Cherry brandy', 'Light cream']","['1 1/4 oz ', '1 1/2 tsp ', '1 tblsp ']","['Light rum (1 1/4 oz)', 'Cherry brandy (1 1/2 tsp)', 'Light cream (1 tblsp)']"
56,Cuba Libre,Alcoholic,Ordinary Drink,Highball glass,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,"['Light rum', 'Lime', 'Coca-Cola']","['2 oz ', 'Juice of 1/2 ', None]","['Light rum (2 oz)', 'Lime (Juice of 1/2)', 'Coca-Cola']"
57,Corn n Oil,Alcoholic,Cocktail,Old-fashioned glass,"Cut the half lime in half again. Add the lime, falernum, and bitters to a rocks glass. Muddle. Add the rum. (Aged Barbados rum such as Plantation 5 Year is recommended). Add ice and stir. Float the blackstrap rum on top. Serve with a straw.","['Lime', 'Falernum', 'Angostura Bitters', 'Añejo rum', 'blackstrap rum']","['1/2', '1/3 oz', '2 dashes', '1 oz', '1 oz']","['Lime (1/2)', 'Falernum (1/3 oz)', 'Angostura Bitters (2 dashes)', 'Añejo rum (1 oz)', 'blackstrap rum (1 oz)']"
58,Citrus Coke,Alcoholic,Soft Drink,Highball Glass,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,"['Bacardi Limon', 'Coca-Cola']","['1 part ', '2 parts ']","['Bacardi Limon (1 part)', 'Coca-Cola (2 parts)']"
59,Casa Blanca,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","['Light rum', 'Triple sec', 'Lime juice', 'Maraschino liqueur']","['2 oz ', '1 1/2 tsp ', '1 1/2 tsp ', '1 1/2 tsp ']","['Light rum (2 oz)', 'Triple sec (1 1/2 tsp)', 'Lime juice (1 1/2 tsp)', 'Maraschino liqueur (1 1/2 tsp)']"
60,Clover Club,Alcoholic,Ordinary Drink,Cocktail glass,"Dry shake ingredients to emulsify, add ice, shake and served straight up.","['Gin', 'Grenadine', 'Lemon', 'Egg white']","['1 1/2 oz ', '2 tsp ', 'Juice of 1/2 ', '1 ']","['Gin (1 1/2 oz)', 'Grenadine (2 tsp)', 'Lemon (Juice of 1/2)', 'Egg white (1)']"
61,Caipirissima,Alcoholic,Ordinary Drink,Collins Glass,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,"['Lime', 'Sugar', 'White rum', 'Ice']","['2 ', '2 tblsp ', '2-3 oz ', 'crushed ']","['Lime (2)', 'Sugar (2 tblsp)', 'White rum (2-3 oz)', 'Ice (crushed)']"
62,City Slicker,Alcoholic,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","['Brandy', 'Triple sec', 'Lemon juice']","['2 oz ', '1/2 oz ', '1 tblsp ']","['Brandy (2 oz)', 'Triple sec (1/2 oz)', 'Lemon juice (1 tblsp)']"
63,Campari Beer,Alcoholic,Beer,Beer mug,Use a 15 oz glass. Add Campari first. Fill with beer.,"['Lager', 'Campari']","['1 bottle ', '1 1/2 cl ']","['Lager (1 bottle)', 'Campari (1 1/2 cl)']"
64,Chicago Fizz,Alcoholic,Ordinary Drink,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.","['Light rum', 'Port', 'Lemon', 'Powdered sugar', 'Egg white', 'Carbonated water']","['1 oz ', '1 oz ', 'Juice of 1/2 ', '1 tsp ', '1 ', None]","['Light rum (1 oz)', 'Port (1 oz)', 'Lemon (Juice of 1/2)', 'Powdered sugar (1 tsp)', 'Egg white (1)', 'Carbonated water']"
65,Cosmopolitan,Alcoholic,Cocktail,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,"['Vodka', 'Lime juice', 'Cointreau', 'Cranberry juice']","['1 1/4 oz ', '1/4 oz ', '1/4 oz ', '1/4 cup ']","['Vodka (1 1/4 oz)', 'Lime juice (1/4 oz)', 'Cointreau (1/4 oz)', 'Cranberry juice (1/4 cup)']"
66,Coffee-Vodka,Alcoholic,Homemade Liqueur,Collins Glass,"Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product.","['Water', 'Sugar', 'Coffee', 'Vanilla', 'Vodka', 'Caramel coloring']","['2 cups ', '2 cups white ', '1/2 cup instant ', '1/2', '1 1/2 cup', None]","['Water (2 cups)', 'Sugar (2 cups white)', 'Coffee (1/2 cup instant)', 'Vanilla (1/2)', 'Vodka (1 1/2 cup)', 'Caramel coloring']"
67,Casino Royale,Alcoholic,Ordinary Drink,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.","['Gin', 'Lemon juice', 'Maraschino liqueur', 'Orange bitters', 'Egg yolk']","['2 oz ', '1/2 oz ', '1 tsp ', '1 dash ', '1 ']","['Gin (2 oz)', 'Lemon juice (1/2 oz)', 'Maraschino liqueur (1 tsp)', 'Orange bitters (1 dash)', 'Egg yolk (1)']"
68,Corpse Reviver,Alcoholic,Cocktail,Cocktail glass,"Shake, strain, straight up, cocktail glass rinsed with absinthe
","['Gin', 'Triple Sec', 'Lillet Blanc', 'Lemon Juice', 'Absinthe']","['3/4 oz', '3/4 oz', '3/4 oz', '3/4 oz', '1 dash']","['Gin (3/4 oz)', 'Triple Sec (3/4 oz)', 'Lillet Blanc (3/4 oz)', 'Lemon Juice (3/4 oz)', 'Absinthe (1 dash)']"
69,Chocolate Milk,Alcoholic,Shot,Shot Glass,"Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!","['Chocolate liqueur', 'Milk', 'Amaretto']","['1/2 shot ', '1/2 shot ', '1 dash ']","['Chocolate liqueur (1/2 shot)', 'Milk (1/2 shot)', 'Amaretto (1 dash)']"
70,Clove Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.","['Sweet Vermouth', 'Sloe gin', 'Wine']","['1 oz ', '1/2 oz ', '1/2 oz Muscatel ']","['Sweet Vermouth (1 oz)', 'Sloe gin (1/2 oz)', 'Wine (1/2 oz Muscatel)']"
